%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82981.274,299.363,0.966,15.045,109.283,0.018,109.562,110.993,113.581,114.275,113.767,110.430,110.926,110.576,112.181,113.597,115.589,109.494,116.229,114.082,112.774,111.800,-11.000,-0.802,-0.437,-0.052,-90.212,215.570
82973.211,299.366,0.966,15.045,109.283,0.018,108.804,110.770,113.474,113.856,114.200,110.846,110.071,110.791,111.510,113.701,115.589,109.494,116.439,113.768,113.085,111.123,-11.000,-0.821,-0.437,-0.052,-90.196,215.560
82973.211,299.366,0.966,15.051,109.362,-0.142,108.479,110.435,112.511,113.961,113.226,110.846,110.285,110.791,112.293,112.553,115.589,109.068,115.915,113.873,112.878,111.349,-11.000,-0.783,-0.427,-0.053,-90.196,215.549
82973.211,299.363,0.966,15.051,109.362,-0.302,108.371,110.435,113.153,112.916,113.875,110.326,110.178,111.005,112.070,113.388,115.273,109.068,116.125,113.559,113.293,111.011,-11.000,-0.802,-0.437,-0.053,-90.228,215.549
82973.211,299.364,0.966,15.056,109.441,0.018,108.804,110.547,113.046,114.066,113.767,110.638,110.178,110.254,112.070,113.075,116.223,109.494,116.334,113.873,112.047,111.236,-11.000,-0.783,-0.437,-0.053,-90.212,215.539
82973.211,299.364,0.966,15.045,109.283,-0.142,108.696,109.988,113.474,114.066,114.200,110.638,110.178,110.469,111.287,113.388,115.484,109.387,116.229,114.396,113.085,110.785,-11.000,-0.783,-0.437,-0.053,-90.245,215.539
82973.211,299.366,0.966,15.045,109.283,0.178,108.912,110.770,112.297,113.543,114.200,110.846,109.750,110.898,112.741,112.448,115.801,109.600,115.392,114.396,112.982,111.913,-11.000,-0.802,-0.427,-0.052,-90.228,215.549
82973.211,299.364,0.966,15.045,109.283,-0.142,108.696,111.217,113.260,113.647,114.416,110.847,109.964,110.898,112.070,113.597,115.906,109.600,116.334,113.350,113.605,111.575,-11.000,-0.821,-0.437,-0.052,-90.212,215.560
82977.243,299.364,0.966,15.040,109.204,-0.142,108.912,110.770,113.581,114.170,113.875,110.639,110.391,110.469,112.405,113.388,116.012,109.387,116.125,114.710,113.085,111.575,-11.000,-0.783,-0.447,-0.052,-90.212,215.539
82969.180,299.367,0.966,15.040,109.204,-0.142,108.912,110.770,113.902,113.543,114.524,110.639,110.285,111.220,111.622,113.284,116.012,109.494,116.543,114.396,113.397,111.913,-11.000,-0.802,-0.427,-0.052,-90.228,215.560
