%Time(s)	Speed(rpm)		
	%3/12/201511:57 AM
11.130	1.800
11.140	1.800
11.150	1.800
11.160	1.800
11.170	1.800
11.180	1.800
11.190	1.800
11.200	1.800
11.210	1.800
11.220	1.800
11.230	1.800
11.240	1.800
11.250	1.800
11.260	1.800
11.270	1.800
11.280	1.800
11.290	1.800
11.300	1.800
11.310	1.800
11.320	1.800
11.330	1.800
11.340	1.800
11.350	1.800
11.360	1.800
11.370	1.800
11.380	1.800
11.390	1.800
11.400	1.800
11.410	1.800
11.420	1.800
11.430	1.800
11.440	1.800
11.450	1.800
11.460	1.800
11.470	1.800
11.480	1.800
11.490	1.800
11.500	1.800
11.510	1.800
11.520	1.800
11.530	1.800
11.540	1.800
11.550	1.800
11.560	1.800
11.570	1.800
11.580	1.800
11.590	1.800
11.600	1.800
11.610	1.800
11.620	1.800
11.630	1.800
11.640	1.800
11.650	1.800
11.660	1.800
11.670	1.800
11.680	1.800
11.690	1.800
11.700	1.800
11.710	1.800
11.720	1.800
11.730	1.800
11.740	1.800
11.750	1.800
11.760	1.800
11.770	1.800
11.780	1.800
11.790	1.800
11.800	1.800
11.810	1.800
11.820	1.800
11.830	1.800
11.840	1.800
11.850	1.800
11.860	1.800
11.870	1.800
11.880	1.800
11.890	1.800
11.900	1.800
11.910	1.800
11.920	1.800
11.930	1.800
11.940	1.800
11.950	1.800
11.960	1.800
11.970	1.800
11.980	1.800
11.990	1.800
12.000	1.800
12.010	1.800
12.020	1.800
12.030	1.800
12.040	1.800
12.050	1.800
12.060	1.800
12.070	1.800
12.080	1.800
12.090	1.800
12.100	1.800
12.110	1.800
12.120	1.800
12.130	1.800
12.140	1.800
12.150	1.800
12.160	1.800
12.170	1.800
12.180	1.800
12.190	1.800
12.200	1.800
12.210	1.800
12.220	1.800
12.230	1.800
12.240	1.800
12.250	1.800
12.260	1.800
12.270	1.800
12.280	1.800
12.290	1.800
12.300	1.800
12.310	1.800
12.320	1.800
12.330	1.800
