%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
102457.093,301.501,1.184,0.258,0.040,0.064,-2.162,-0.780,0.749,2.091,1.298,-1.868,-0.854,-1.177,-0.335,0.104,3.169,-1.593,2.408,1.465,0.934,-0.450,-2.034,0.009,-0.059,-0.000,535.448,336.520
102444.999,301.499,1.184,0.000,-0.040,0.384,-1.621,-0.669,1.606,2.091,0.757,-0.623,-1.922,-0.856,0.671,0.000,2.218,-1.274,3.141,0.942,0.831,0.113,-2.024,0.009,-0.069,0.000,535.448,336.520
102449.030,301.504,1.184,0.000,-0.040,0.224,-2.594,-0.892,2.034,2.196,0.973,-0.830,-0.854,-2.033,0.447,0.626,2.429,-1.805,2.723,1.465,1.142,0.226,-2.045,0.028,-0.059,0.000,535.448,336.520
102461.125,301.505,1.184,0.258,0.040,0.224,-1.297,-1.895,2.034,2.509,0.324,-1.349,-0.961,-0.963,-0.112,1.044,2.641,-2.018,2.932,1.465,1.142,-0.113,-2.014,0.009,-0.089,-0.000,535.448,336.520
102457.093,301.504,1.184,0.684,0.277,-0.096,-2.054,-0.223,1.177,2.405,0.973,-1.868,-0.534,-0.856,0.447,0.104,2.852,-1.487,1.990,1.151,0.831,0.564,-2.014,0.009,-0.069,-0.001,535.448,336.520
102449.030,301.505,1.184,0.258,0.040,0.544,-2.486,-0.780,2.034,1.046,0.216,-1.764,-1.708,-1.605,0.336,0.313,1.901,-1.593,2.827,0.523,0.831,0.226,-1.993,0.009,-0.069,0.000,535.448,336.520
102444.999,301.502,1.184,0.000,-0.040,-0.096,-2.054,-0.780,1.392,2.091,0.433,-1.349,-0.854,-1.712,0.224,0.104,2.324,-2.018,2.304,1.360,0.415,0.113,-2.014,0.009,-0.079,0.001,535.448,336.520
102457.093,301.502,1.184,0.578,0.198,0.224,-2.270,-1.672,1.177,1.464,0.865,-1.764,-1.495,-1.391,-0.893,-0.104,2.429,-1.487,2.618,1.256,0.623,-0.675,-2.034,0.009,-0.069,-0.001,535.448,336.520
102444.999,301.501,1.184,0.000,-0.040,-0.096,-2.702,-1.003,0.321,2.196,0.865,-1.660,-1.281,-1.498,0.336,-0.417,1.796,-2.018,2.513,0.942,0.519,0.451,-2.034,-0.010,-0.048,0.000,535.448,336.520
102440.968,301.501,1.184,0.000,-0.040,-0.096,-2.702,-1.226,1.284,1.359,0.649,-0.830,-0.854,-1.605,0.559,0.418,2.007,-2.018,2.408,0.942,0.727,0.226,-2.014,0.009,-0.069,0.000,535.448,336.520
